28-10-2021 22:41:07 [TestNG-method=testQueryInRadiusOfO-1] INFO  io.olen4ixxx.triangle.repository.CustomRepository - queryList from repository: [Triangle = {id: 4, Point{1,00, 2,00}, Point{3,00, 4,00}, Point{0,50, 0,60}}, Triangle = {id: 8, Point{1,00, 2,00}, Point{3,00, 4,00}, Point{0,50, 0,60}}, Triangle = {id: 12, Point{1,00, 2,00}, Point{3,00, 4,00}, Point{0,50, 0,60}}]
28-10-2021 22:41:07 [main] INFO  io.olen4ixxx.triangle.util.IdGenerator - Id generated: 13
28-10-2021 22:41:07 [main] INFO  io.olen4ixxx.triangle.util.IdGenerator - Id generated: 14
28-10-2021 22:41:07 [main] INFO  io.olen4ixxx.triangle.util.IdGenerator - Id generated: 15
28-10-2021 22:41:07 [main] INFO  io.olen4ixxx.triangle.util.IdGenerator - Id generated: 16
28-10-2021 22:41:07 [main] INFO  io.olen4ixxx.triangle.repository.CustomRepository - Repository addAll: [Triangle = {id: 13, Point{2,00, 2,00}, Point{3,00, 4,00}, Point{-5,00, -6,00}}, Triangle = {id: 14, Point{4,00, 2,00}, Point{3,00, 4,00}, Point{-5,00, 6,00}}, Triangle = {id: 15, Point{3,00, 2,00}, Point{3,00, 4,00}, Point{5,00, -6,00}}, Triangle = {id: 16, Point{1,00, 2,00}, Point{3,00, 4,00}, Point{0,50, 0,60}}]
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - TriangleCalculationService: trianglePerimeter(Triangle = {id: 1, Point{2,00, 2,00}, Point{3,00, 4,00}, Point{-5,00, -6,00}})
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - perimeter: 25.672462265100137
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - TriangleCalculationService: trianglePerimeter(Triangle = {id: 2, Point{4,00, 2,00}, Point{3,00, 4,00}, Point{-5,00, 6,00}})
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - perimeter: 20.331137030531217
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - TriangleCalculationService: trianglePerimeter(Triangle = {id: 3, Point{3,00, 2,00}, Point{3,00, 4,00}, Point{5,00, -6,00}})
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - perimeter: 20.44425027842089
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - TriangleCalculationService: trianglePerimeter(Triangle = {id: 4, Point{1,00, 2,00}, Point{3,00, 4,00}, Point{0,50, 0,60}})
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - perimeter: 8.535223568679879
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - TriangleCalculationService: trianglePerimeter(Triangle = {id: 5, Point{2,00, 2,00}, Point{3,00, 4,00}, Point{-5,00, -6,00}})
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - perimeter: 25.672462265100137
28-10-2021 22:41:07 [TestNG-method=testQueryPerimeterIsBetween-1] INFO  olen4ixxx.triangle.service.impl.TriangleCalculationService - TriangleCalculationService: trianglePerimeter(Triangle = {id: 6, Point{4,00, 2,00}, Point{3,00, 4,00}, Point{-5,00, 6,00}})
